## 第1週 1日目 キッチン・リビング
列車の時刻を調べる|れっしゃのじこくをしらべる——查列车时刻表
時刻表|じこくひょう——时刻表
新幹線|しんかんせん——新干线
座席を指定する|ざせきをしていする——指定座位
指定席|していせき——指定席
自由席|じゆうせき——自由席
窓側|まどがわ——靠窗一侧
通路側|つうろがわ——靠过道一侧
乗車券|じょうしゃけん——车票
片道切符|かたみちきっぷ——单程车票
往復切符|おうふくきっぷ——往返票
特急券|とっきゅうけん——特快车票
回数券|かいすうけん——联票
定期券|ていきけん——月票
改札口を通る|かいさつぐちをとおる——过检票口
切符を払い戻す|きっぷをはらいもどす——退票
## 第2週 3日目 電車②
乗車する|じょうしゃする——乘车
発車する|はっしゃする——发车
下車する|げしゃする——下车
電車の中はがらがらだ|でんしゃのなかはがらがらだ——电车里空荡荡的
満員電車で通勤する|まんいんでんしゃでつうきんする——乘满员电车上班
電車がゆれる|でんしゃがゆれる——电车颠簸
始発電車|しはつでんしゃ——首班电车
終電|しゅうでん——末班电车
始発駅から乗る|しはつえきからのる——从起点站乘车
終点で降りる|しゅうてんでおりる——在终点站下车
急行から各駅停車に乗り換える|きゅうこうからかくえきていしゃにのりかえる——快车换乘慢车
乗り遅れる|のりおくれる——没赶上车
乗り過ごす|のりすごす——坐过站
運賃を精算する|うんちんをせいさんする——补票
携帯電話の使用を控える|けいたいでんわのしようをひかえる——尽量不要使用手机
お年寄りに席をゆずる|おとしよりにせきをゆずる——给老年人让座
体の不自由な人|からだのふじゆうなひと——残疾人
優先席|ゆうせんせき——优先座席
## 第2週 4日目 車・運転
運転免許証|うんてんめんきょしょう——驾驶执照
ドライブをする|ドライブをする——开车兜风
レンタカーを借りる|レンタカーをかりる——租赁汽车
トランクに荷物を積む|トランクににもつをつむ——将行李放入行李箱
人を乗せる|ひとをのせる——让人上车
シートベルトをしめる|シートベルトをしめる——系安全带
エンジンをかける|エンジンをかける——启动发动机
バックミラーで確認する|バックミラーでかくにんする——看后视镜确认
ハンドルをにぎる|ハンドルをにぎる——把握方向盘
アクセルをふむ|アクセルをふむ——踩油门
ブレーキをかける|ブレーキをかける——刹闸
急ブレーキ|きゅうブレーキ——急刹车
ライトをつける|ライトをつける——打开车灯
ワイパーを動かす|ワイパーをうごかす——起动雨刷
ガソリンスタンドに寄る|ガソリンスタンドによる——顺便去加油站
高速道路に乗る|こうそくどうろにのる——上高速公路
タイヤがパンクする|タイヤがパンクする——车胎爆胎
